nest	site	Iddef	sampling	type	a	b	surface	x	y	UTM1	UTM2
10	Roksem	grootnestoverA1	NA	extra	0.85	0.96	2.56	51.173526	3.052149	5669222.881	503645.6688
R_H1	Roksem	H1_Roksem	2018	original	NA	NA	5.00	51.1737018	3.0520635	5669242.427	503639.6777
R_H2	Roksem	H2_Roksem	2018	original	1.2	1.57	5.92	51.1736102	3.0518359	5669232.229	503623.7737
R_H3	Roksem	H3_Roksem	2018	original	0.87	1.08	2.95	51.174084	3.049765	5669284.82	503478.9644
R_H4	Roksem	H4_Roksem	2018	original	1.6	1.1	5.53	51.173792	3.049455	5669252.332	503457.3148
R_A1	Roksem	N1_Roksem	2018	budded	1	1.1	3.46	51.1735532	3.0526519	5669225.931	503680.8237
R_A2	Roksem	N2_Roksem	2018	budded	1.07	1.2	4.03	51.173568	3.051863	5669227.538	503625.6716
R_A2'	Roksem	N3_Roksem	2018	budded	1.21	1.11	4.22	51.173493	3.051869	5669219.197	503626.0969
R_A2"	Roksem	N4_Roksem	2018	budded	0.65	0.68	1.39	51.173562	3.051611	5669226.858	503608.0551
R_B1	Roksem	N5_Roksem	2019	budded	0.58	0.62	1.13	51.1738408	3.0498091	5669257.776	503482.0657
R_B2	Roksem	N6_Roksem	2019	budded	0.28	0.28	0.25	51.1744123	3.0493354	5669321.31	503448.9075
R_B3	Roksem	N7_Roksem	2019	budded	0.36	0.32	0.36	51.1744127	3.0495097	5669321.362	503461.0924
R_B4	Roksem	N8_Roksem	2019	budded	NA	NA	1.47	51.1746032	3.0493803	5669342.542	503452.0321
1	Roksem	NA	NA	extra	0.65	0.65	1.33	51.174566	3.049786	5669338.424	503480.3962
2	Roksem	NA	NA	extra	0.8	0.8	2.01	51.174527	3.049809	5669334.088	503482.007
3	Roksem	NA	NA	extra	0.55	0.57	0.98	51.174097	3.050191	5669286.286	503508.7442
4	Roksem	NA	NA	extra	1.02	1	3.20	51.173954	3.050809	5669270.413	503551.9582
5	Roksem	NA	NA	extra	0.95	0.82	2.45	51.174538	3.050449	5669335.341	503526.7468
6	Roksem	NA	NA	extra	0.62	0.44	0.86	51.174437	3.050629	5669324.118	503539.3378
7	Roksem	NA	NA	extra	0.96	1	3.02	51.174401	3.051106	5669320.138	503572.6864
8	Roksem	NA	NA	extra	1.1	0.75	2.59	51.174331	3.051186	5669312.357	503578.2844
9	Roksem	NA	NA	extra	1.52	1.5	7.16	51.174295	3.051604	5669308.374	503607.5085
12	Roksem	NA	NA	extra	0.6	0.6	1.13	51.173874	3.051535	5669261.551	503602.7177
16	Roksem	nesthuismetclytra	NA	extra	0.8	1	2.51	51.174162	3.0495929	5669293.486	503466.9274
13	Roksem	nestmiddenpool	NA	extra	NA	NA	2.20	51.173751	3.0508	5669247.837	503551.3446
14	Roksem	straat	NA	extra	NA	NA	3.00	51.1734191	3.0513477	5669210.953	503589.6592
15	Roksem	vogelkijkhut	NA	extra	0.86	0.83	2.24	51.1744865	3.048474	5669329.521	503388.6839
