datum	set	replica	nestkoppel	nest	treatment	distance	Redundant	Stenus	Thiasophila	Notothecta	Amidobia 	Lyprocorrhe	Dinarda	Quedius	Leptacinus	Pella	Clytra	Myrmetes	Monotoma	Emphylus	Thyreosthenius	Cyphoderus	Platyarthrus	RWA_workers
01/07/2019	setAF	setAF_1	A_B	A	Periphery	0	N	6	3	3	3	6	0	0	0	0	0	0	1	0	1	1	0	171
01/07/2019	setAF	setAF_1	A_B	B	Periphery	0	N	7	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	51
01/07/2019	setAF	setAF_1	B_C	B	Periphery	0	X	7	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	51
01/07/2019	setAF	setAF_1	B_C	C	Periphery	0	X	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	69
01/07/2019	setAF	setAF_1	C_D	C	Periphery	0	N	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	69
01/07/2019	setAF	setAF_1	C_D	D	Periphery	0	N	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	88
01/07/2019	setAF	setAF_1	D_E	D	Periphery	0	X	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	88
01/07/2019	setAF	setAF_1	D_E	E	Periphery	0	N	0	1	0	0	5	0	0	0	0	0	0	0	0	2	0	0	52
01/07/2019	setAF	setAF_1	E_F	E	Periphery	0	X	0	1	0	0	5	0	0	0	0	0	0	0	0	2	0	0	52
01/07/2019	setAF	setAF_1	E_F	F	Periphery	0	N	5	0	3	0	3	0	0	0	0	0	0	0	0	1	0	0	45
01/07/2019	setAF	setAF_1	A_B	A	Extranidal	2.5	N	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	11
01/07/2019	setAF	setAF_1	A_B	B	Extranidal	2.5	N	1	0	0	1	9	0	0	0	0	0	0	0	0	3	0	0	38
01/07/2019	setAF	setAF_1	B_C	B	Extranidal	28.45	N	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	13
01/07/2019	setAF	setAF_1	B_C	C	Extranidal	28.45	N	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
01/07/2019	setAF	setAF_1	C_D	C	Extranidal	6.5	N	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	19
01/07/2019	setAF	setAF_1	C_D	D	Extranidal	6.5	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
01/07/2019	setAF	setAF_1	D_E	D	Extranidal	1.2	N	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	14
01/07/2019	setAF	setAF_1	D_E	E	Extranidal	1.2	N	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	67
01/07/2019	setAF	setAF_1	E_F	E	Extranidal	8.9	N	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	8
01/07/2019	setAF	setAF_1	E_F	F	Extranidal	8.9	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
01/07/2019	setAF	setAF_1	A_B	A_B	Trail	2.5	N	2	1	1	3	0	0	0	0	1	0	0	0	0	2	0	0	22
01/07/2019	setAF	setAF_1	B_C	B_C	Trail	28.45	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01/07/2019	setAF	setAF_1	C_D	C_D	Trail	6.5	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
01/07/2019	setAF	setAF_1	D_E	D_E	Trail	1.2	N	14	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	109
01/07/2019	setAF	setAF_1	E_F	E_F	Trail	8.9	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
08/07/2019	setAF	setAF_2	A_B	A	Periphery	0	N	6	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	78
08/07/2019	setAF	setAF_2	A_B	B	Periphery	0	N	12	2	2	3	14	0	1	0	0	1	0	2	0	1	0	0	46
08/07/2019	setAF	setAF_2	B_C	B	Periphery	0	X	12	2	2	3	14	0	1	0	0	1	0	2	0	1	0	0	46
08/07/2019	setAF	setAF_2	B_C	C	Periphery	0	N	14	4	2	0	4	0	1	0	1	0	0	0	0	13	1	0	211
08/07/2019	setAF	setAF_2	C_D	C	Periphery	0	X	14	4	2	0	4	0	1	0	1	0	0	0	0	13	1	0	211
08/07/2019	setAF	setAF_2	C_D	D	Periphery	0	N	16	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	37
08/07/2019	setAF	setAF_2	D_E	D	Periphery	0	X	16	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	37
